number,value,datetime_start,datetime_complete,duration,params_ff_activation,params_ff_droput,params_ff_hidden_dim,params_opt,params_opt_lr,state
0,0.7011494252873564,2021-02-05 19:26:38.342414,2021-02-05 19:26:39.650145,0 days 00:00:01.307731000,relu,0.05,128,Adam,0.1,COMPLETE
1,0.718232044198895,2021-02-05 19:26:39.651578,2021-02-05 19:26:41.084959,0 days 00:00:01.433381000,sigmoid,0.1,64,Adam,0.1,COMPLETE
2,0.7362637362637363,2021-02-05 19:26:41.085991,2021-02-05 19:26:42.501775,0 days 00:00:01.415784000,relu,0.05,64,AdamW,0.01,COMPLETE
3,0.708994708994709,2021-02-05 19:26:42.503044,2021-02-05 19:26:44.089175,0 days 00:00:01.586131000,relu,0.05,128,Adam,0.01,COMPLETE
4,0.7222222222222222,2021-02-05 19:26:44.090435,2021-02-05 19:26:45.561304,0 days 00:00:01.470869000,sigmoid,0.1,128,Adam,0.01,COMPLETE
5,0.7422680412371134,2021-02-05 19:26:45.562412,2021-02-05 19:26:46.954452,0 days 00:00:01.392040000,sigmoid,0.1,128,Adam,0.01,COMPLETE
6,0.7431693989071039,2021-02-05 19:26:46.955427,2021-02-05 19:26:48.312413,0 days 00:00:01.356986000,sigmoid,0.05,64,Adam,0.01,COMPLETE
7,0.7282051282051283,2021-02-05 19:26:48.313424,2021-02-05 19:26:49.582300,0 days 00:00:01.268876000,sigmoid,0.05,64,AdamW,0.1,COMPLETE
8,0.7039106145251396,2021-02-05 19:26:49.583322,2021-02-05 19:26:50.735277,0 days 00:00:01.151955000,relu,0.1,64,AdamW,0.1,COMPLETE
9,0.6878980891719746,2021-02-05 19:26:50.736267,2021-02-05 19:26:52.004457,0 days 00:00:01.268190000,sigmoid,0.1,128,AdamW,0.1,COMPLETE
10,0.7199999999999999,2021-02-05 19:26:52.005529,2021-02-05 19:26:53.171656,0 days 00:00:01.166127000,tanh,0.05,64,Adam,0.01,COMPLETE
11,0.7555555555555555,2021-02-05 19:26:53.172626,2021-02-05 19:26:54.362131,0 days 00:00:01.189505000,sigmoid,0.1,128,Adam,0.01,COMPLETE
